u,v
-5.257326354,-1
-1.172457773,-1
2.555415935,1
1.72345424,1
3.888685582,1
1.977573174,1
-2.191131135,-1
2.441328703,1
-2.471484553,-1
-1.618075921,-1
-1.691327725,-1
-1.83288145,-1
-5.65046402,-1
-1.664514802,-1
5.315819442,1
-1.456589687,-1
-2.117486309,-1
5.319925494,1
2.704279894,1
3.446869767,1
-1.201352697,-1
-3.232822338,-1
-0.124447892,-1
5.600297639,1
1.712535223,1
-4.125710508,-1
0.864365761,1
-5.151265823,-1
-3.091777713,-1
0.24865113,1
3.47627234,1
-1.243142992,-1
0.326325301,1
-0.186716444,-1
-7.121040345,-1
-0.154125261,-1
-3.277949319,-1
-1.649918009,-1
-1.540436629,-1
4.319334058,1
0.715066001,1
-2.912944498,-1
4.860631661,1
3.025904292,1
-1.416918036,-1
0.518934886,1
-1.158277903,-1
2.453823545,1
3.045623005,1
3.499561303,1
-3.160609668,-1
2.271076817,1
-1.422998993,-1
-1.015132186,-1
-1.737149076,-1
-2.771960487,-1
-1.060932287,-1
0.510030441,1
-1.060867388,-1
2.841711225,1
-4.498630684,-1
0.116308028,1
5.885056287,1
-3.833850265,-1
-3.915877943,-1
1.032031323,1
-2.62883992,-1
0.45038431,1
-2.310793585,-1
5.384106604,1
0.057782837,1
-2.967351707,-1
-1.76427168,-1
-0.649696408,-1
0.634101838,1
-1.879474059,-1
0.178657519,1
0.328262178,1
-1.739043196,-1
-2.504281628,-1
-2.886538478,-1
0.834688966,1
-1.714147944,-1
1.701466632,1
-2.518728238,-1
1.793690966,1
3.761202137,1
5.563679115,1
4.327156188,1
1.366716484,1
-1.414858492,-1
4.743847695,1
-0.99406174,-1
3.515001924,1
-3.2089592,-1
1.615710134,1
2.983667118,1
-1.558934715,-1
-4.840891871,-1
-0.043540631,-1
-1.375354496,-1
4.772549735,1
1.030506963,1
-1.907508408,-1
5.075389518,1
3.623279662,1
-2.571389841,-1
0.695097713,1
-1.200383601,-1
-1.830790551,-1
3.759615339,1
-1.355656258,-1
-4.10311232,-1
4.208021348,1
-0.733218917,-1
-0.644239448,-1
-0.955567244,-1
4.812719096,1
-0.74817068,-1
-1.982339621,-1
-3.178680692,-1
5.875879047,1
-0.856739516,-1
-0.705461548,-1
0.331461184,1
-3.012915219,-1
-3.662064645,-1
-0.010968363,-1
3.984843922,1
-2.520968963,-1
-7.902276324,-1
2.884219572,1
2.995003892,1
2.813753202,1
-1.403842299,-1
1.344647797,1
-1.172744072,-1
-0.281626263,-1
-3.957001825,-1
-5.202003612,-1
2.614143376,1
2.128338144,1
0.2412785,1
-0.751634399,-1
-4.124855054,-1
-1.719622411,-1
2.127531438,1
-1.31573169,-1
1.195495676,1
1.675499128,1
2.483655645,1
1.670864319,1
1.994837217,1
1.756497992,1
3.229295041,1
-2.782827347,-1
-0.955256717,-1
3.684612185,1
6.107587134,1
3.354127207,1
1.69989519,1
-4.613815285,-1
-0.081460272,-1
4.42103068,1
-1.417612993,-1
3.39272697,1
2.630084641,1
2.39680552,1
-5.59987021,-1
-3.656163773,-1
-0.113298018,-1
1.051298701,1
-0.132754941,-1
1.650618572,1
-1.721919535,-1
1.401155672,1
5.711639247,1
1.466778917,1
-2.880226226,-1
-3.444564142,-1
3.583627939,1
-0.403858999,-1
4.24145117,1
-0.151504417,-1
2.983877006,1
-0.985226738,-1
-1.776697991,-1
1.568280566,1
-3.458716792,-1
7.964893392,1
-1.21667609,-1
4.488678749,1
1.525466869,1
-5.130602212,-1
-1.37529122,-1
-4.574105061,-1
-0.718949882,-1
-0.723700903,-1
1.853148769,1
-0.033784577,-1
-0.283449986,-1
1.890857345,1
0.113852552,1
6.853835929,1
1.480572571,1
0.900710616,1
2.48567669,1
5.401449384,1
-2.620013626,-1
1.394910307,1
-4.658238737,-1
2.769379269,1
-0.595941845,-1
-0.590045029,-1
0.894180428,1
2.330598201,1
-1.004372798,-1
6.050656625,1
-3.053812816,-1
0.700250503,1
-3.337964215,-1
5.854607043,1
0.561522432,1
0.499597666,1
2.398095954,1
-0.384496749,-1
-1.291337201,-1
1.158032976,1
3.790459737,1
-0.052030426,-1
-1.805055886,-1
2.915328025,1
-0.543018093,-1
2.617042196,1
-2.820787796,-1
-3.374661792,-1
-2.597712717,-1
-1.925956712,-1
1.752656818,1
2.620892911,1
-2.239749202,-1
4.096177309,1
-4.971901912,-1
2.26346423,1
3.135859551,1
4.476199448,1
-0.80847135,-1
-0.616441178,-1
0.531561815,1
3.189992773,1
3.828108073,1
3.007106518,1
2.327429722,1
-1.067881948,-1
-4.481129757,-1
-3.770682974,-1
1.133189773,1
-7.454240676,-1
-1.62648656,-1
-0.119138266,-1
1.459234759,1
-2.713543676,-1
-2.643379271,-1
4.329914606,1
-5.394785361,-1
-3.125240255,-1
-0.714498625,-1
-0.14963498,-1
-1.241549685,-1
0.960501962,1
-0.578300058,-1
1.344945522,1
6.17021155,1
-2.165025558,-1
-1.644770776,-1
3.322635726,1
-0.614299151,-1
-2.746585556,-1
1.74249861,1
1.823462487,1
0.954161971,1
1.591109187,1
0.476870918,1
6.40949033,1
-6.132269833,-1
-0.102196732,-1
2.064004689,1
-0.737977953,-1
-0.222989983,-1
5.86258879,1
1.002301804,1
-5.675994395,-1
-2.530860231,-1
5.799243477,1
2.418160547,1
-0.928787352,-1
2.778807313,1
2.188508396,1
-0.742028394,-1
4.097293833,1
-0.949030203,-1
-2.883037227,-1
7.927165639,1
-4.716229083,-1
0.739464575,1
4.095225607,1
2.988425774,1
1.365424495,1
